stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
1287,P-0107,Rosas/Colegio George Müller,20.552388482972,-100.45454607122,0
1288,P-0105,Orquídeas/Av. Sta María del Pueblito,20.552540124632,-100.45008612022,0
1289,P-0103,Av. Santa María del Pueblito/Rivera del Rio,20.552077777778,-100.44785833333,0
1323,P-0061,Av. del Divino Salvador/Cristo Rey,20.517098,-100.451425,0
1767,P-0337,Hospital General/Paseo 5 de Febrero,20.580031791579,-100.4057036974,0
1768,P-0338,Av. de Las Torres/Plaza Galerías,20.577451961827,-100.40762868309,0
1769,P-0339,Prol. Zaragoza/Cedros,20.580781428324,-100.40998775431,0
1770,P-0332,Prol. Zaragoza/City Club,20.579741515718,-100.41455104574,0
1771,P-0331,Hospital General,20.574470039181,-100.41648107064,0
1774,P-0321,Valle de Las Flores/Valle de Guadalupe,20.527710313041,-100.47184069552,0
1775,P-0319,Valle Dorado/Valle de Las Flores,20.527713651217,-100.47007192824,0
1776,P-0317,Valle Dorado/Don José,20.526258846431,-100.47009067622,0
1382,P-0039,Josefa Vergara/Valle Dorado,20.523332072742,-100.46983194099,0
1383,P-0041,Josefa Vergara/Ducis,20.523905780779,-100.46807361559,0
1330,P-0048,Geranios/Prol. Jazmín,20.52890450515,-100.45467188135,0
1399,P-0066,Libramiento Sur Poniente/Geranios,20.529821727001,-100.45232223694,0
1354,P-0077,Geranios/Camino A la Negreta,20.530568997465,-100.4485293569,0
1355,P-0046,Geranios/Sivagas,20.529233829653,-100.4545445184,0
1356,P-0076,Libramiento Sur Poniente/Calle Encino,20.526767,-100.46029,0
1388,P-0040,Josefa Vergara/Ducis,20.524100593814,-100.46778154227,0
1389,P-0038,Josefa Vergara/Valle Dorado,20.523410303117,-100.46993475751,0
1777,P-0316,Valle Dorado/Don José,20.52613045,-100.4700072,0
1778,P-0318,Valle Dorado/Valle de Las Flores,20.527614019095,-100.46997837511,0
1779,P-0320,Valle de Las Flores/Valle de Guadalupe,20.527789591238,-100.47196246099,0
1314,P-0158,Santa Bárbara,20.532404238038,-100.4441736623,0
1895,P-0373,Avenida Ignacio Zaragoza/Calle Manuel Altamirano,20.590364,-100.385377,0
1896,P-0375,Ignacio Zaragoza/Manuel Acuña,20.591033,-100.383425,0
1897,P-0377,Ignacio Zaragoza/Insurgentes Queretanos,20.591248974767,-100.38151559305,0
1898,P-0382,Calz. de Los Arcos/Independencia,20.592561226818,-100.37774335365,0
1899,P-0384,Calzada de Los Arcos/Av. Plateros,20.593638454284,-100.37628647905,0
1900,P-0386,Calzada de Los Arcos/Bernardo Quintana,20.59612148541,-100.37291083121,0
1901,P-0387,Calz. de Los Arcos/Bernardo Quintana,20.59688,-100.37181,0
1907,P-0556,Emiliano Zapata Puente/De la Presa,20.605180769531,-100.34015494226,0
1908,P-0557,Emiliano Zapata Puente/Callejón San Antonio,20.6066583,-100.33883055556,0
1909,P-0558,Emiliano Zapata Puente/Del Marqués,20.607294693601,-100.33597027682,0
2007,P-0724,Av. Cerro Sombrerete/Unidad de Medicina No. 15,20.623709347251,-100.41179502706,0
2008,P-0727,Av. Cerro Sombrerete/Preparatoria Norte Uaq,20.62651907539,-100.41245224031,0
2009,P-0728,Av. Tláloc/Parque Epigmenio González,20.627652872266,-100.40774808856,0
2010,P-0732,Av. Paseo de la Constitución/Parque Cedros,20.627178663081,-100.4047283532,0
2011,P-0733,Av. Paseo de la Constitución,20.62569617401,-100.40154709165,0
2012,P-0734,Av. Paseo de la Constitución/Av. Peñuelas,20.624756610957,-100.39942130078,0
2013,P-0735,Av. Paseo de la Constitución/Colegio Ace,20.624175010189,-100.39717955372,0
2014,P-0736,Av. Paseo de la Constitución/Parque Querétaro 2000,20.622781,-100.394128,0
2015,P-0737,Av. Paseo de la Constitución/Primaria Bicentenario de la Independencia,20.621632804349,-100.39235014634,0
2001,P-0696,Prol. Corregidora Norte/Av. Paseo de la Constitución,20.621454798302,-100.39002930276,0
2000,P-0694,Prol. Corregidora Norte/Nogaleda,20.624235819299,-100.38901715174,0
1999,P-0693,Prol. Corregidora Norte/Indios Verdes,20.625073507906,-100.38810407591,0
2050,P-0738,Calle Menchaca/Del Salto,20.631498320977,-100.37585422235,0
2051,P-0739,Calle Menchaca/Justina Hacienda,20.630340214249,-100.378160563,0
2052,P-0740,Calle Menchaca/Las Flores,20.628924779695,-100.381010412,0
2053,P-0741,Calle Menchaca/Calle Latinoamericano,20.627676796402,-100.38357441433,0
1998,P-0691,Carr. Chichimequillas/Prol. Corregidora Norte,20.627456334628,-100.38600717097,0
1982,P-0695,Prol. Corregidora Norte/Jardínera,20.622803655684,-100.39011696988,0
1983,P-0698,Prol. Corregidora Norte/Av. Paseo de la Constitución,20.620079357053,-100.3901606672,0
1915,P-0700,Prol. Corregidora Norte/Real de Monserrat,20.617882076716,-100.39017545266,0
2005,P-0612,Epigmenio González/Tecnológico de Monterrey,20.612268,-100.403628,0
2006,P-0719,Prol. Tecnológico/Prepa Tec,20.613105132664,-100.40960908999,0
2054,P-0742,Calle Menchaca/Carr. Chichimequillas,20.627353108122,-100.38399282114,0
2073,P-0757,Acceso 6,20.64311,-100.434595,0
2083,P-0248,Carr. Chichimequillas/Centros de Servicios de Justicia Penal,20.676171736325,-100.36139891788,0
2084,P-0291,Av. Paseo de Las Pitahayas/Jarica,20.68414236,-100.3483377,0
2085,P-0292,Av. Paseo de Las Pitahayas/Garambullo,20.67842727,-100.3371985,0
2086,P-0293,Av. Paseo de Las Pitahayas/Canto,20.67486263,-100.3279478,0
2087,P-0294,Av. Paseo de Las Pitahayas/Discovery,20.67537343,-100.3222889,0
2088,P-0295,Av. Paseo de Las Pitahayas/Plaza Zielo,20.678750705136,-100.31420604741,0
2065,P-0296,Av. Paseo de Las Pitahayas/Walmart,20.68147631,-100.3169534,0
2066,P-0305,Ceiba/Xentric Zibatá Suites,20.68369828,-100.3244133,0
2067,P-0304,Paseo Tunas/Campo de Golf Zibatá,20.67964174,-100.3248171,0
2089,P-0297,Av. Paseo de Las Pitahayas/Fuente,20.6751744,-100.3252409,0
2090,P-0298,Av. Paseo de Las Pitahayas/Parque Jamadi,20.67570324,-100.3327386,0
2091,P-0299,Av. Paseo de Las Pitahayas/Plaza Centro,20.68057394,-100.339746,0
2092,P-0301,Av. Paseo de Las Pitahayas/Privada Jade,20.68341899,-100.3468461,0
2093,P-0300,Av. Paseo de Las Pitahayas/Privada Turquesa,20.68498435,-100.3528123,0
2094,P-0249,Carr. Chichimequillas/Av. Paseo de Las Pithayas,20.68548933,-100.3577793,0
2095,P-0247,Carr. Chichimequillas/Centros de Servicios de Justicia Penal,20.675792839632,-100.36161417823,0
2044,P-0655,Río Moctezuma/Cedro,20.638539307663,-100.38600932566,0
2045,P-0652,Río Querétaro/Nogal,20.640108383103,-100.38484333162,0
2046,P-0650,Río Querétaro/Calle 14,20.641510378582,-100.38451455307,0
2246,P-1000,Terminal de Autobuses de Querétaro/Paradero,20.581149,-100.359176,0
2017,P-0420,Luis Vega y Monroy/Estadio,20.580373403637,-100.36536069772,0
2018,P-0421,Luis Vega y Monroy/Hospital de Especialidades,20.578626098981,-100.37025626864,0
2038,P-0422,Luis Vega/Monroy Hospital de Especialidades,20.578438800109,-100.36998195477,0
2039,P-0419,Luis Vega y Monroy/Estadio,20.580096332807,-100.3650521994,0
2439,P-0418,Cerro Blanco/Estadio,20.575824359565,-100.36362892515,0
2440,P-0416,Cerro Blanco/Fray Luis de León,20.574790883987,-100.36879135119,0
2441,P-0414,Fray Luis de Leon/Congreso del Edo.,20.571704940876,-100.36848975485,0
1922,P-0361,Ignacio Zaragoza/Tecnologico,20.584491148286,-100.40237715444,0
1923,P-0363,Ignacio Zaragoza/Ignacio Perez,20.585446759438,-100.39968092471,0
1924,P-0365,Ignacio Zaragoza/Ezequiel Montes,20.586463888889,-100.39668187025,0
1925,P-0367,Ignacio Zaragoza/Vicente Guerrero Salesiano,20.5872676,-100.3943766,0
1926,P-0369,Ignacio Zaragoza/Ignacio Allende,20.587967,-100.3922565,0
2203,P-1200A,Alameda,20.589621654784,-100.38742654734,0
2454,P-0379,Ejército Republicano/12b,20.591644063671,-100.37865890173,0
2455,P-0380,Av. 20 de Noviembre/Ejército Republicano,20.590433341935,-100.37658834045,0
2456,P-0518,20 de Noviembre/Francisco Gonzalez de Cosio,20.587772068969,-100.37646571473,0
2457,P-0516,Av. Cimatario/Constituyentes,20.586532791039,-100.37509013274,0
2458,P-0514,Av. Cimatario/Ingenieros,20.5832,-100.37444,0
2459,P-0513,Cerro del Cimatario/Juventino Castro Sánchez,20.581433017684,-100.37434811343,0
2406,P-0425,Av. Cimatario/De Santa Teresita,20.576417789193,-100.37373948178,0
2407,P-0429,Av.Magisterio (Cimatario)/Pza. Santa Ana,20.575225021974,-100.37323603018,0
2460,P-0431,Av. Magisterio (Cimatario)/Cerro Blanco,20.573012549105,-100.37242017703,0
2461,P-0433,Av. Colinas del Cimatario/Cerro Culiacán,20.570972313548,-100.37200102101,0
2462,P-0434,Av. Colinas del Cimatario/Cerro Libertad,20.56763880944,-100.37083491082,0
