route_id_principal,observaciones,paradas_observadas,atraso_promedio_ruta_min,desviacion_promedio_ruta_min,route_short_name
90.0,266,38,12.180137844611535,12.180137844611535,L51
91.0,7,1,14.242857142857142,14.242857142857142,L52
92.0,7,1,26.31309523809524,26.31309523809524,L53
93.0,7,1,26.501190476190484,26.501190476190484,L54
94.0,21,3,31.653571428571436,31.653571428571436,L55
95.0,7,1,29.200000000000006,29.200000000000006,L56
96.0,112,16,14.653571428571428,14.653571428571428,C21
97.0,63,9,14.923809523809528,14.923809523809528,C22
98.0,98,14,10.844812925170071,10.844812925170071,C23
99.0,7,1,13.72857142857143,13.72857142857143,T01
112.0,14,2,10.133333333333338,10.133333333333338,L103
128.0,28,4,25.417559523809526,25.417559523809526,L100
129.0,28,4,6.9583333333333375,6.9583333333333375,L101
134.0,140,20,7.951547619047619,7.7021428571428565,C26
136.0,7,1,18.13571428571429,18.13571428571429,C28
138.0,28,4,11.575595238095243,11.575595238095243,C30
139.0,14,2,0.0,-0.38095238095238315,C32
160.0,210,30,14.03738095238095,13.17849206349206,L59
163.0,168,24,20.71468253968254,20.71468253968254,L110
164.0,35,5,14.083333333333332,14.083333333333332,L111
233.0,14,2,12.858333333333336,12.858333333333336,L113
234.0,7,1,5.704761904761908,5.704761904761908,L117
245.0,154,22,23.286796536796537,23.286796536796537,C58
255.0,147,21,13.954024943310655,13.954024943310655,T11
256.0,14,2,7.936309523809525,7.936309523809525,T12
274.0,7,1,20.63095238095238,20.63095238095238,L150
281.0,14,2,23.809523809523807,23.809523809523807,L115
283.0,63,9,26.925661375661374,26.925661375661374,C67
315.0,7,1,17.96190476190476,17.96190476190476,L161
316.0,35,5,28.520476190476188,28.520476190476188,C71
319.0,266,38,4.469736842105263,2.9029448621553886,C24
320.0,7,1,15.007142857142858,15.007142857142858,C25
321.0,77,11,7.660822510822512,7.660822510822512,C27
322.0,168,24,13.388293650793653,13.388293650793653,C29
323.0,63,9,9.342592592592592,7.594179894179893,C31
324.0,126,18,14.674867724867724,14.59761904761905,C33
325.0,329,47,10.070466058763932,9.940070921985816,C34
326.0,329,47,10.968287740628165,9.907294832826747,C35
327.0,14,2,13.399999999999997,13.39583333333333,C36
328.0,21,3,11.631746031746033,11.631746031746033,C37
329.0,28,4,3.139880952380952,3.0863095238095233,C38
331.0,14,2,10.213095238095244,10.213095238095244,C40
332.0,98,14,18.327551020408162,18.327551020408162,C41
333.0,70,10,2.5233333333333334,-0.4902380952380947,C42
334.0,70,10,12.461666666666664,12.461666666666664,C43
335.0,7,1,0.0,-12.564285714285722,C44
336.0,371,53,12.644407008086255,12.373921832884099,C46
337.0,77,11,11.736904761904764,11.666774891774894,C47
338.0,112,16,10.371949404761907,10.078050595238096,C48
339.0,35,5,10.83714285714286,8.600476190476192,C49
340.0,98,14,21.20068027210884,21.20068027210884,C50
341.0,231,33,17.251659451659453,17.233766233766232,C51
342.0,322,46,9.03374741200828,4.333695652173911,C52
343.0,84,12,8.926388888888889,1.4365079365079363,C53
344.0,91,13,5.4304029304029315,4.449633699633701,C54
345.0,469,67,6.4323383084577115,3.376439232409382,C55
346.0,112,16,12.254166666666665,12.254166666666665,C56
347.0,56,8,9.672023809523807,9.672023809523807,C57
348.0,21,3,12.36111111111111,12.36111111111111,C60
349.0,112,16,18.17098214285714,18.17098214285714,C61
350.0,238,34,15.95847338935574,15.95847338935574,C62
351.0,91,13,13.587362637362636,11.991575091575092,C63
352.0,84,12,7.351785714285714,7.32361111111111,C64
353.0,56,8,7.696130952380956,7.696130952380956,C65
354.0,105,15,20.138253968253967,20.138253968253967,C68
355.0,28,4,0.1952380952380953,-6.78988095238095,C69
356.0,35,5,7.281428571428572,7.281428571428572,L108
357.0,28,4,0.9160714285714285,-0.6297619047619041,L112
358.0,56,8,14.601785714285713,14.354166666666663,L118
360.0,7,1,8.578571428571433,8.578571428571433,L152
361.0,21,3,28.730158730158728,28.730158730158728,L156
364.0,49,7,24.902380952380952,24.902380952380952,L159
366.0,28,4,16.480952380952385,16.480952380952385,L57
367.0,7,1,24.249999999999996,24.249999999999996,L60
369.0,112,16,10.925892857142854,10.925892857142854,L62
370.0,112,16,11.796949404761907,11.262127976190481,T02
371.0,28,4,10.360119047619051,10.360119047619051,T03
372.0,7,1,26.492857142857137,26.492857142857137,T04
373.0,14,2,21.553571428571427,21.553571428571427,T05
374.0,84,12,20.628968253968253,20.628968253968253,T06
375.0,84,12,10.563690476190475,8.56329365079365,T07
376.0,70,10,8.334285714285716,8.334285714285716,T08
377.0,49,7,23.949319727891154,23.949319727891154,T09
378.0,14,2,18.27857142857143,18.27857142857143,T10
379.0,42,6,14.040079365079364,14.040079365079364,T13
380.0,35,5,6.252380952380951,6.252380952380951,L154
381.0,14,2,7.71547619047619,7.71547619047619,L155
382.0,21,3,10.835317460317457,10.835317460317457,T14
386.0,49,7,7.0632653061224495,7.051360544217688,AIQ01
396.0,84,12,12.226587301587305,12.226587301587305,T16
408.0,42,6,30.109920634920638,30.109920634920638,C73
