route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
318,1,L114E,Santa Rosa Jauregui - Cecyteq 09 Montenegro,3,f2ac32,000000
319,1,C24,La Pradera - Bosques Del Cimatario,3,18b780,000000
320,1,C25,El Pozo - Cecati 17,3,18b780,000000
321,1,C27,Vista Azul - Paseos Del Pedregal,3,18b780,000000
322,1,C29,Terminal De Autobuses (taq) - Los Olvera,3,18b780,000000
323,1,C31,Paseos De San Miguel - Independencia,3,18b780,000000
324,1,C33,Fracc Fray Junipero Serra - Independencia,3,18b780,000000
325,1,C34,Terminal De Autobuses (taq) - La Pradera,3,18b780,000000
326,1,C35,Blvd De Las Americas - Fracc Fray Junipero Serra,3,18b780,000000
327,1,C36,Bolaños - Ciudad Del Sol,3,18b780,000000
328,1,C37,Bolaños Ii - Cecati 17,3,18b780,000000
329,1,C38,Rancho San Antonio - Alameda,3,18b780,000000
330,1,C39,Blvd De Las Americas - Av De Las Torres,3,18b780,000000
331,1,C40,Blvd De Las Americas - Las Teresas,3,18b780,000000
332,1,C41,Blvd De Las Americas - Cerrito Colorado,3,18b780,000000
333,1,C42,Hacienda La Gloria - Colinas De La Piedad,3,18b780,000000
334,1,C43,Col Sergio Villaseñor - Candiles,3,18b780,000000
335,1,C44,San Pablo - El Portico,3,18b780,000000
336,1,C46,Los Olvera - Uteq,3,18b780,000000
337,1,C47,Terminal De Autobuses (taq) - Cam Corregidora,3,18b780,000000
338,1,C48,Blvd De Las Americas - Fracc Vistana,3,18b780,000000
339,1,C49,Fracc Vistana - Independencia,3,18b780,000000
340,1,C50,Col 10 De Abril - Mercado La Cruz,3,18b780,000000
341,1,C51,Blvd De Las Americas - Rancho San Pedro,3,18b780,000000
342,1,C52,Paseos De San Miguel - Fracc Vistana,3,18b780,000000
343,1,C53,Paseos Del Pedregal - Alameda,3,18b780,000000
344,1,C54,Las Americas - Independencia,3,18b780,000000
345,1,C55,Col Sergio Villaseñor - Rancho Bellavista,3,18b780,000000
346,1,C56,Paseos De San Miguel - San Pedrito Peñuelas,3,18b780,000000
347,1,C57,Terminal De Autobuses (taq) - San Pedrito Peñuelas,3,18b780,000000
348,1,C60,La Pradera - Plaza Patio,3,18b780,000000
349,1,C61,Jardines De Azucenas - Mercado La Cruz,3,18b780,000000
350,1,C62,Col Che Guevara - Paseos Del Pedregal,3,18b780,000000
351,1,C63,Ciudad Del Sol - Mercado De La Cruz,3,18b780,000000
352,1,C64,Alameda - El Colorado,3,18b780,000000
353,1,C65,Las Teresas - Hospital Sagrado Corazon De Jesus,3,18b780,000000
354,1,C68,Terminal De Autobuses (taq) - Fracc Eduardo Loarca,3,18b780,000000
355,1,C69,Terminal De Autobuses (taq) - Santa Rosa Jauregui,3,18b780,000000
356,1,L108,Santa Maria Magdalena - La Comer Zaragoza,3,f2ac32,000000
357,1,L112,Lomas Del Marques - Plaza Del Parque,3,f2ac32,000000
358,1,L118,El Salitre - Plaza Del Parque,3,f2ac32,000000
359,1,L151,Santa Maria Magdalena - Tanque,3,f2ac32,000000
360,1,L152,Ejido Modelo - Alameda,3,f2ac32,000000
361,1,L156,Valle De Santiago - Corporativo Santander,3,f2ac32,000000
362,1,L157,Col Che Guevara - La Obrera,3,f2ac32,000000
363,1,L158,Juriquilla (km 15) - La Obrera,3,f2ac32,000000
364,1,L159,El Nabo - La Obrera,3,f2ac32,000000
365,1,L160,Valle De Santiago - La Obrera,3,f2ac32,000000
366,1,L57,Alameda - Santa Barbara,3,f2ac32,000000
367,1,L60,Juncos - La Obrera,3,f2ac32,000000
368,1,L61,Bosques Del Cimatario - Av De Las Torres,3,f2ac32,000000
369,1,L62,Socavon - Alameda,3,f2ac32,000000
370,1,T02,La Pradera - San Jose De Los Olvera,3,e97936,000000
371,1,T03,Prados Del Sol - Fracc Vistana,3,e97936,000000
372,1,T04,Desarrollo Familiar - Terminal De Autobuses (taq),3,e97936,000000
373,1,T05,La Cañada - Los Olvera,3,e97936,000000
374,1,T06,Terminal De Autobuses (taq) - Juncos,3,e97936,000000
375,1,T07,Blvd De Las Americas - Fracc Vistana,3,e97936,000000
376,1,T08,Santa Rosa Jauregui - Terminal De Autobuses Taq,3,e97936,000000
377,1,T09,Blvd Peña Flor - Terminal De Autobuses (taq),3,e97936,000000
378,1,T10,Hacienda Mompani - Criq Queretaro,3,e97936,000000
379,1,T13,La Loma Ix - Alameda,3,e97936,000000
380,1,L154,El Tintero - Plaza Del Parque,3,f2ac32,000000
381,1,L155,Rancho Bellavista - Tanque,3,f2ac32,000000
